,매장,매장명,위도,경도
137,CU,역삼벚꽃길점,37.4913400949661,127.035230472876
138,CU,역삼본점,37.5040607943802,127.025722496305
139,CU,역삼사랑점,37.5070064287505,127.040832899965
140,CU,역삼삼부자점,37.505714621884,127.044187368547
141,CU,역삼세명점,37.4969322612856,127.041924677788
142,CU,역삼센타점,37.4959135595498,127.033851193712
143,CU,역삼시티점,37.4996310406531,127.030473092157
144,CU,역삼신웅점,37.5014432260166,127.040146004168
145,CU,역삼에스아이빌딩점,37.5015976461467,127.037722864045
146,CU,역삼에클라트점,37.4985646987797,127.03502680361
147,CU,역삼역촌점,37.5059681773897,127.033137217637
148,CU,역삼우인점,37.4964807817238,127.029326833418
149,CU,역삼유토빌점,37.4988329157332,127.033517432189
150,CU,역삼점,37.504775509851,127.046974538444
151,CU,역삼카이로스점,37.4917199961445,127.03159725692
152,CU,역삼타운점,37.4987088230266,127.043045465065
153,CU,역삼테헤란점,37.501906618161,127.038507542095
154,CU,역삼포스틸점,37.4990862800943,127.034141792509
155,CU,역삼푸르지오점,37.4969537535198,127.046376168482
156,CU,역삼푸른점,37.4904528041245,127.032319386876
157,CU,역삼하나점,37.5043086853779,127.034157968271
158,CU,역삼한서점,37.4982038341298,127.039085211042
159,CU,역삼형지점,37.4944617806227,127.03960456549
160,CU,역삼화랑점,37.4947146044015,127.037672359853
161,CU,역삼황제펭귄점,37.5067759720047,127.036939312606
162,CU,큰길타워점,37.5024001842287,127.040672852455
163,CU,율현중앙점,37.4717876972763,127.106821695827
164,CU,강남일원점,37.4934522235172,127.086497630736
165,CU,강남행복점,37.4913209890296,127.088314234699
166,CU,개포루체하임점,37.4904095707027,127.080037419093
167,CU,미가마트점,37.49034450782,127.089590154403
168,CU,삼성암센터점,37.49034450782,127.089590154403
169,CU,일원가람점,37.4831592916235,127.085383839812
170,CU,일원다솜점,37.4905883689782,127.085387772411
171,CU,일원마루공원점,37.4950472959834,127.084477448928
172,CU,일원우성점,37.4932437695434,127.079114775367
173,CU,일원한솔점,37.4826291743574,127.076520309277
174,CU,강남남명학사점,37.472056996722,127.096024011591
175,CU,강남자곡점,37.4742501650724,127.102541254792
176,CU,자곡현대점,37.4747691320118,127.105019940623
177,CU,자곡힐스테이트점,37.4717696093503,127.088116003682
178,CU,강남청담점,37.5217835219323,127.057129570826
179,CU,청담1동점,37.5241985510961,127.053113851141
180,CU,청담강변점,37.5253178743328,127.049140464498
181,CU,청담경원점,37.5235930895173,127.0450641105
182,CU,청담노아점,37.5247990731669,127.044610517722
183,CU,청담보람점,37.52720407102,127.040751478937
184,CU,청담삼환점,37.5221283395974,127.047566189072
185,CU,청담엘점,37.5275961637825,127.049748342522
186,CU,청담영동점,37.5253017908224,127.052593679812
187,CU,청담오션점,37.5185437964101,127.045019899024
188,CU,청담자이점,37.5241761545976,127.055766981476
189,CU,청담진흥점,37.5200725483969,127.050327611302
190,CU,청담청아점,37.5187379255809,127.048085623434
191,CU,청담카운티점,37.5233485048625,127.049040867303
192,CU,청담현대점,37.5270240644958,127.052978287839
193,CU,강일5단지점,37.5685142719635,127.178137155501
194,CU,강일리버스트점,37.5702707463025,127.173549444166
195,CU,강일재화점,37.5627330061505,127.177260246293
196,CU,강일풍성점,37.5652765727484,127.178358990921
197,CU,고덕2단지점,37.5587972921376,127.173182162867
198,CU,강동고덕점,37.5603891271085,127.152576318227
199,CU,강동그라시움점,37.5589406585527,127.16875200867
200,CU,고덕동남점,37.5605549560891,127.155579121369
201,CU,고덕래미안점,37.5576891371776,127.148600236458
202,CU,고덕본점,37.5622457076467,127.162379760796
203,CU,고덕에이스점,37.5614559702282,127.170007101333
204,CU,그라시움점,37.557135101795,127.164510295845
205,CU,강동개나리점,37.5409745077596,127.138707724386
206,CU,강동성심병원점,37.5361555499193,127.135335702535
207,CU,강동오네뜨점,37.542344419177,127.14424572955
208,CU,강동천중로점,37.5395411407956,127.14276271347
209,CU,강동축복점,37.538281117737,127.146421871484
210,CU,강동풍차점,37.5384995467677,127.13685939869
211,CU,길동SK점,37.5366245950933,127.136132976612
212,CU,길동마루점,37.5368399179472,127.139314330701
213,CU,길동미소점,37.5349128324106,127.139565994686
214,CU,길동엘리트점,37.5406134619498,127.145313706997
215,CU,길동우성점,37.5377905247848,127.140940884103
216,CU,길동청광점,37.5351085214737,127.13695638748
217,CU,길동한신점,37.5360846941657,127.137473996228
218,CU,강동프라자점,37.5361372943578,127.148430512796
219,CU,둔촌미소점,37.5296717379888,127.137624912791
220,CU,둔촌점,37.5335400075614,127.14337750422
221,CU,둔촌하이츠점,37.5301474141824,127.14253064303
222,CU,둔촌현대점,37.5326249085305,127.146277988138
223,CU,강동해오름점,37.5449598321051,127.143585403142
224,CU,고덕벨리온점,37.5546936843646,127.15511458665
225,CU,명일명성점,37.5479330366933,127.147892163608
226,CU,명일상암로점,37.5490355839082,127.152778255008
227,CU,명일스타힐스점,37.5522907599423,127.155772547373
228,CU,명일엘지점,37.5495715507422,127.146551800294
229,CU,명일우량점,37.5520423388557,127.154068058218
230,CU,명일점,37.5524520841374,127.142765043003
231,CU,명일한영점,37.5476227794401,127.154608586546
232,CU,고덕베네루체점,37.5502047175329,127.166059233388
233,CU,고덕센트럴점,37.5507926724653,127.166404789399
234,CU,고덕아르테온1상가점,37.5566264093618,127.168780176356
235,CU,고덕아르테온점,37.5556546654081,127.165290881338
236,CU,고덕자이점,37.5533182082692,127.168788219773
237,CU,리엔파크본점,37.5542779663065,127.180532714904
238,CU,삼성엔지니어링점,37.5488176629632,127.175324562111
239,CU,상일천호대로점,37.5463218326114,127.170322048937
240,CU,강동구청점,37.529323155567,127.123426432913
241,CU,강동성내로점,37.5272790455142,127.124122325899
