시,구,동,명칭,분류,주소,y,x
서울,노원구,중계동,불암산공원,산과공원,서울특별시 노원구 중계동,37.6525550467648,127.077488598779
서울,동작구,노량진동,사육신공원,산과공원,서울특별시 동작구 노량진동 152-3,37.5139096470956,126.947922408268
서울,종로구,사직동,사직공원,산과공원,서울특별시 종로구 사직동 1-29번지,37.5763070087568,126.968620728293
서울,동작구,사당동,삼일공원,산과공원,(156-090) 서울특별시 동작구 사당동 산24-17,37.4859101761481,126.974624516111
서울,종로구,삼청동,삼청공원,산과공원,서울특별시 종로구 삼청동 산2-1,37.592167680872,126.982823962243
서울,동작구,상도동,상도공원,산과공원,서울특별시 동작구 상도동 산75,37.4931426412792,126.950006746771
서울,마포구,상암동,상암근린공원,산과공원,(121-270) 서울특별시 마포구 상암동 1693번지,37.5795486023957,126.883109400881
서울,관악구,신림동,샘말공원,산과공원,서울시 관악구 대학동 산63-1,37.4643280288012,126.938417382626
서울,강동구,명일동,샛마을근린공원,산과공원,서울특별시 강동구 구천면로 429(명일동 288번지),37.550398832671,127.146490613144
서울,서대문구,현저동,서대문독립공원,산과공원,서울특별시 서대문구 통일로251(현저동 101번지) 일대,37.5746085138333,126.955611774864
서울,양천구,신월동,서서울호수공원,산과공원,서울특별시 양천구 남부순환로 64길 20(신월동 149-20),37.5274318869812,126.830086887893
서울,은평구,진관동,서오릉도시자연공원,산과공원,진관동 389-3,37.6374870778229,126.913429704395
경기,과천시,막계동,서울대공원,산과공원,경기도 과천시 막계동 159-1,37.4359636282906,127.01422844251
서울,성동구,성수동1가,서울숲,산과공원,(133-111) 서울특별시 성동구 뚝섬로 273(성수1가1동 685) ,37.5430701468405,127.041799099222
서울,광진구,능동,서울어린이대공원,산과공원,서울특별시 광진구 능동로 216,37.5520117024951,127.078772391405
서울,도봉구,도봉동,서울창포원,산과공원,서울시 도봉구 마들로 916(도봉동 4-2),37.6895391740107,127.047162261964
서울,서초구,양재동,서초문화예술공원,산과공원,(137-130) 서울특별시 서초구 양재동 200번지,37.4682649656675,127.031108085058
