,Unnamed: 0,주소,매장명,위도,경도,매장,0,1,2,3,지점명,시,구,동
98,98.0,서울특별시 양천구 오목로 299,목동이마트점,37.5260820776,126.8703542151,버거킹,,,,,,,,
99,99.0,서울특별시 마포구 월드컵북로 344,상암점,37.576503786,126.8938904997,버거킹,,,,,,,,
100,100.0,서울특별시 중랑구 망우로 400,망우점,37.5986769,127.0965557,버거킹,,,,,,,,
101,101.0,서울특별시 은평구 통일로 750,불광점,37.6123464,126.9286789,버거킹,,,,,,,,
102,102.0,서울특별시 강서구 공항대로 32,송정역점,37.5610338,126.8107236,버거킹,,,,,,,,
103,103.0,서울특별시 송파구 송파대로 448,석촌점,37.5065967983,127.1063859654,버거킹,,,,,,,,
104,104.0,서울특별시 송파구 위례중앙로43 GS주유소 내,위례신도시GS점,37.4753528,127.1322885,버거킹,,,,,,,,
105,105.0,서울특별시 노원구 노원로 236,하계점,37.6391058,127.0751285,버거킹,,,,,,,,
106,106.0,서울특별시 동작구 노량진로 169,노량진점,37.5140993435,126.9448245088,버거킹,,,,,,,,
107,107.0,서울특별시 강서구 화곡로 142,화곡역점,37.5405706,126.8376195,버거킹,,,,,,,,
108,108.0,서울특별시 노원구 노원로 3,화랑대역점,37.6219901,127.0866513,버거킹,,,,,,,,
109,109.0,서울특별시 중랑구 겸재로 180,면목역점,37.5882095,127.0879653,버거킹,,,,,,,,
0,,서울 강남구 역삼동 822-2,강남 2호점,37.4986859,127.0287553,맥도날드,,,,,,,,
1,,서울 강북구 미아동 197-5,미아역,37.626944,127.026192,맥도날드,,,,,,,,
2,,서울 금천구 가산동 60-22,마리오 아울렛,37.4779193,126.8872055,맥도날드,,,,,,,,
3,,서울 강서구 등촌동 630,등촌 DT,37.5582134,126.8597362,맥도날드,,,,,,,,
4,,서울 송파구 신천동 7-25,잠실역,37.5150646,127.099686,맥도날드,,,,,,,,
5,,서울 종로구 명륜2가 197-1,성균관대,37.5834143,126.9988817,맥도날드,,,,,,,,
6,,서울 송파구 송파동 84,석촌역,37.5059873,127.1091036,맥도날드,,,,,,,,
7,,서울 서초구 서초동 1674-5,서울교대점,37.4939517,127.0161834,맥도날드,,,,,,,,
